date, pm25, pm10, o3, no2, so2, co
2019/2/24, 70, , 14, , 3, 7
2019/2/25, 30, , 23, , 4, 9
2019/2/26, 53, , 19, , 6, 10
2019/2/27, 74, , 31, , 4, 10
2019/2/28, 56, , 32, , 4, 9
2019/3/1, 56, , 28, , 4, 8
2019/3/2, 56, , , , , 
2019/3/3, 65, , 31, , 3, 6
2019/3/4, 68, , 29, , 3, 5
2019/3/5, 49, , 33, , 3, 5
2019/3/6, 69, , 36, , 5, 8
2019/3/7, 74, , 35, , 8, 11
2019/3/8, 84, , 38, , 6, 9
2019/3/9, 63, , 30, , 4, 6
2019/3/10, 49, , 25, , 3, 5
2019/3/11, 35, , 24, , 4, 7
2019/3/12, 50, , 24, , 5, 9
2019/3/13, 68, , 19, , 7, 12
2019/3/14, 85, , 32, , 5, 10
2019/3/15, 71, , 31, , 4, 9
2019/3/16, 61, , 34, , 5, 12
2019/3/17, 56, , 33, , 4, 13
2019/3/18, 60, , 35, , 3, 11
2019/3/19, 65, , 21, , 3, 8
2019/3/20, 59, , 24, , 6, 16
2019/3/21, 78, , 28, , 3, 10
2019/3/22, 59, , 26, , 6, 11
2019/3/23, 62, , 35, , 9, 17
2019/3/24, 86, , 36, , 6, 17
2019/3/25, 83, , 38, , 7, 11
2019/3/26, 94, , 23, , 2, 6
2019/3/27, 78, , 37, , 4, 10
2019/3/28, 78, , 34, , 3, 11
2019/3/29, 61, , 19, , 4, 13
2019/3/30, 79, , 23, , 8, 20
2019/3/31, 82, , 33, , 4, 14
2019/4/1, 55, , 6, , 3, 13
2018/10/2, 86, , 35, , 11, 7
2018/10/3, 99, , 36, , 11, 8
2018/10/4, 81, , 23, , 21, 10
2018/10/5, 93, , 32, , 21, 10
2018/10/6, 104, , 32, , 12, 12
2018/10/7, 96, , 30, , 9, 11
2018/10/8, 91, , , , , 
2018/10/9, 68, , 2, , 11, 8
2018/10/10, 81, , 17, , 13, 8
2018/10/11, 85, , 21, , 13, 7
2018/10/12, 85, , 26, , 12, 7
2018/10/13, 81, , 33, , 12, 6
2018/10/14, 75, , 31, , 6, 6
2018/10/15, 70, , 38, , 10, 7
2018/10/16, 81, , 31, , 14, 7
2018/10/17, 89, , 34, , 14, 8
2018/10/18, 106, , 22, , 13, 7
2018/10/19, 115, , 33, , 14, 7
2018/10/20, 122, , 33, , 8, 1
2018/10/21, 84, , 41, , 7, 
2018/10/22, 70, , 34, , 10, 8
2018/10/23, 87, , 28, , 9, 7
2018/10/24, 87, , 34, , 12, 6
